44041116+18316898j, -15280866+25968928j, -30990341+30546917j, 12704360+-7536642j, -37310920+44298535j, -27617617+-9117367j, -28602864+-4609270j, 18771671+-4844173j, 22633355+-13699459j, -19759328+-19034172j, 29471915+26726814j, 12133999+-13348017j, -8657382+1853612j, 32708073+4015579j, -37827176+9264006j, -25493044+8462048j, 
-34593510+-28020581j, -10248771+-19000614j, 1882166+-7893356j, 22254297+11325760j, -35845452+-6682364j, 1450097+15955108j, -816544+-3288687j, -16555998+16338716j, 17368536+18136684j, 11136920+2464407j, 3212090+-1230438j, 4420057+4036999j, 5992716+13701150j, 27482025+-10452034j, 9780345+-42533344j, 21970202+-3684762j, 
-14182986+57340834j, -27783321+2140752j, -9887484+-21700611j, 45949560+15416867j, -12244997+-16985283j, 10429666+-31801611j, 5093331+-32031056j, -30838501+13256911j, -23382441+-4804389j, 12582333+3109969j, 18381211+-25651246j, -3842133+33212827j, 44809279+-16814885j, 10546530+33047104j, -10154972+25570143j, -19196251+7100760j, 
55576617+19299541j, 51331801+5779663j, -34822478+-18811866j, 355017+6500940j, 3456957+21302588j, -3634320+2343573j, -255707+2761580j, -15421786+-67358j, 25624672+-59799118j, -5704687+39053072j, 6859449+44627180j, 18402276+-47530466j, -12697548+14347883j, -11418051+-1689580j, -6579563+5333888j, -21653120+-6333656j, 
-39350066+-48145113j, -64872121+37190776j, 61014471+12465604j, -9826522+25151418j, 4824697+-16129612j, -19416871+21619650j, 9449512+25169537j, -22658216+-20599257j, 972373+6939113j, 28982887+-20250391j, -4240905+-31218016j, -38356781+-8701979j, 31191528+7299782j, -6150218+-50658929j, -52132982+50535002j, -49373686+33105343j, 
-16111216+30582557j, -15041326+2505124j, -20250009+-29654145j, 33167246+12814681j, 33814523+17840071j, 26742764+7359743j, 8847000+6548531j, -531965+-31814589j, -37521069+26190572j, -31130146+6982046j, 27049483+-28858046j, -26431+48935179j, -2980977+-23187881j, 5133137+2804163j, 20548969+16915617j, 12798600+-11902079j, 
5435154+-23720975j, -907019+-23622074j, 35212707+-1107144j, -16035500+10299713j, 24201868+-4166472j, -7117203+6382369j, 7392364+-4948511j, 19341593+-26890566j, 2830545+-21301880j, 21237005+-5257793j, -12410100+-30381639j, 7952368+-35925042j, -7682325+38932498j, 36516704+13548457j, -24730551+-37814019j, -3628002+-40286018j, 
-6619263+-30775855j, -30042704+-7893064j, 32047748+60134537j, -15081150+-17814495j, -37819527+29304963j, -14664518+-13949815j, 16975170+-19113692j, 6756446+-16598942j, 36197490+2964547j, 34955324+-28342408j, -25643519+-61336526j, -47855794+-3409461j, 24817383+-43432484j, 23701624+-41597443j, -18637082+38443722j, -5030694+24615520j, 
-56433065+7468060j, -30625735+-37488473j, -40382227+23437932j, 11399829+21318812j, 7786528+-7478461j, 55306641+-32493196j, 221438+3182249j, -140897+-23598900j, -10719860+-10632841j, -10540899+9226714j, 28290590+1410891j, -36285068+57889366j, -9274714+-16269984j, -22194466+-17636863j, -12963575+31628262j, -22072585+12379091j, 
-8095335+39974821j, -21811576+15444895j, 33911405+-30177140j, -5873876+11651233j, -9292666+22060555j, -19595571+-11161453j, 13821955+-15774466j, -19730047+19567299j, -6004580+20728416j, 18561441+16523831j, -24058277+-20560494j, -19758079+51548286j, 24424813+-50921286j, 11699368+7598057j, 22433911+5391348j, -2874902+-5398836j, 
8698680+-3840059j, 1992727+12402014j, -3555369+10917970j, -20358062+-7917407j, 4076683+-20536332j, -1936614+-23836257j, 32060357+18867290j, -16201315+16485893j, 9351792+11502815j, -2126221+31129570j, -21954616+13434273j, 11086922+-6857432j, -27627446+12656867j, -68493533+23247608j, 32953963+-12207275j, 23004203+19757811j, 
-29193369+63307619j, 8122223+54712490j, 15970371+-32666860j, 12485076+-1991908j, -5617084+39172433j, 44103412+10294749j, 30817111+9907581j, 11808237+23645523j, 27151610+30656139j, -25999263+-22714476j, 16755540+7844873j, 19834294+26906941j, 19604546+-35486977j, -41735287+13093284j, 22834449+-660839j, 15381062+15536888j, 
-12316183+6525734j, -37959782+-26562282j, -39220316+43098660j, 1355945+12641368j, -42293918+275945j, 5791055+-18672318j, -410491+-7782887j, 6581826+-34580647j, -33249997+24694989j, -15594479+36842625j, 41830367+-28674319j, -17251668+-7788805j, 5632285+8051677j, 330776+12663475j, 10398706+34590711j, -17804921+-28399112j, 
728093+7059684j, -1134415+7785399j, -5268615+29628973j, -33809113+-11398422j, 39744273+61447405j, -2731197+-10696847j, -13538108+3845702j, 12192464+-46087596j, -23361494+-15822699j, -28885161+-22923177j, 181483+24053919j, -37247260+31955068j, -20302600+-26372310j, -33438299+-26408566j, 19062898+19378501j, -9387043+7515313j, 
-17161860+10833214j, -20546497+-22564064j, 31374747+32649737j, -24707445+-21294517j, -26180422+6758169j, 9324147+-52962846j, -1191374+4762361j, 2265277+14364739j, -3054669+2167692j, -18657302+29888242j, 23316324+-28177140j, 3611774+11309865j, 20598557+22739611j, -31315107+39925213j, 24265661+-20425083j, 11597624+-3354709j, 
28416123+-19914196j, -12841872+-15372033j, 54237605+-1216505j, -15565491+34310570j, 25884847+-12122983j, -4454181+10478693j, -2822031+-9673888j, -4491044+5566646j, 36008596+4204286j, 27191275+-12290818j, 16872993+-1570108j, -9270526+-7653389j, 7822060+-4685307j, -8424751+16969856j, -22561681+-24665094j, -30235138+14340025j, 
27408064+18439084j, -240353+17514800j, 7153384+-16379992j, 13968384+-4304087j, 11299589+-29091653j, 8134864+-5356005j, -12746431+17142993j, -23834618+9081706j, 13225339+43563827j, -34366626+11309738j, -28080736+-12011576j, 23057727+-14366706j, 4655768+-25865535j, 30784934+-15338686j, 2206037+9088029j, -14610807+22710234j, 
4050794+2869598j, -4525596+43539295j, 24566227+-5744379j, 2785568+-16294791j, -14651911+-30787292j, -13798988+5335678j, -13572903+30922599j, -27082079+15274260j, -9665891+16578974j, -24597621+36004616j, -27410923+-16718543j, 29702911+-1355764j, -15636332+4254956j, 4852948+-16964107j, 42430204+41157615j, 245780+10027892j, 
24282648+-22096965j, 33321004+37647642j, 23487920+-47387210j, -19921733+23464030j, 34794178+-4285585j, -6892448+26286761j, 11723288+49796087j, -64876+25321275j, 30947971+1012842j, 13914456+22471062j, -4721020+32557200j, 10836754+9158531j, -11638188+-11550266j, 4488538+6602590j, -6580396+-20528912j, -6279771+38469958j, 
40091226+3662524j, 51170134+-21015846j, -17782393+10174673j, -24101892+17471473j, 7543696+5247240j, 3224531+-6295374j, 34485143+11189465j, 12695931+-11131237j, 12006398+12328212j, -4325301+52682078j, 26995159+17767428j, -2434482+-41765896j, -4698145+8297780j, -6530043+38717198j, 27851724+-32981719j, 12619548+-5050257j, 
36229622+-13034128j, -34301834+-41757348j, 44310270+63841866j, -20759511+-13633609j, 12498450+-276694j, -17747568+-10303861j, -45735336+-17094115j, 2169775+489583j, -13197092+30847562j, 37978174+-15381385j, 30688424+-13527980j, -15236411+1988702j, 21523462+7938200j, -29108926+-31396629j, 4826431+-18686803j, -54356550+5584957j, 
-35933793+7383191j, 10088901+15836841j, -5933724+7176346j, -15903802+-1767238j, -49083665+2756419j, 1422257+9581845j, -4545352+28625056j, -1443593+9477115j, -27000539+8927340j, -2880864+39355687j, -29240284+-3958328j, -23390529+4592223j, 10832580+28759427j, -13230972+40188071j, 33251027+13732434j, 6070658+-7855559j, 
5203891+-50174804j, -52292507+-397850j, 42245028+26795284j, 14126675+8854540j, 4318550+6712246j, -786198+21946573j, -23274245+-10046294j, -28056370+40046015j, -1533515+14023308j, 28728364+-31382892j, 24160142+-1956852j, -12540631+15390758j, -4663676+207872j, -41949910+19804573j, 6441710+-3240076j, -23663444+25543632j, 
-26144406+18219696j, -21670174+31603779j, 11554451+6592887j, 5394229+-5745558j, -16024127+44408784j, 8550665+-24759242j, 604958+2128967j, -2019181+19493725j, 47219865+21623790j, -8237457+8563059j, 10202297+8226089j, -7094229+43564909j, -8361397+-25943421j, -37412494+-15672935j, 29969261+-10531514j, 4481213+29996098j, 
40053388+17099056j, 1383258+31314360j, -11653009+-28356041j, -2862231+1841428j, 6746461+-9039957j, -35589098+13344467j, -23846086+-20693367j, -6961277+-8727354j, -35790800+8320842j, -20321395+-32900539j, -20018986+19948848j, 28843616+7011175j, -9550929+-26473621j, 4957849+-2879128j, 10139253+23977229j, -7811869+2308195j, 
-2947000+28896228j, -4287866+7134145j, -2810153+1190739j, 5615686+1011953j, 3884417+2981887j, -26886104+-5525190j, -17422610+-21585596j, -27996546+-21026252j, -17303908+-42137224j, -6810700+-18377987j, -26826860+-7161200j, 33696381+-8176036j, 2618519+2426539j, -3690747+-6882023j, -913468+19247088j, -487756+-12592893j, 
-942482+-18261074j, -15295797+10990913j, -41912049+-10082878j, 27758396+-1718468j, 19975174+-10742011j, 12843955+-3102423j, -15235105+4134951j, -12556697+8544882j, 12581132+-38421889j, -2830579+9443058j, 7163578+4397715j, -16759619+-32260421j, -7050776+6957210j, 6523033+-23409540j, -68328371+11724463j, -34787903+8115493j, 
42780715+-18505049j, -1749938+-8875183j, 9839621+3446383j, -17663352+7483799j, 6208780+40094382j, -19636255+9479154j, -8632768+17670858j, -5354378+6215670j, -9763185+-28604621j, 3727567+15559252j, 24687404+8344223j, 3844429+3942367j, -4116106+-2406019j, -41550955+17942306j, 5322475+9940857j, -3018068+13655720j, 
7344976+-14996854j, -35366050+7886481j, -4713758+36036919j, 6598883+-3434339j, -76841001+8462666j, -42450941+3893827j, -8322922+-5842525j, 11241635+-2129800j, -11810591+10587702j, 20953586+-26476332j, -19928719+-16966891j, -20862615+3384749j, 7886032+-25604171j, 57944269+10540111j, -13207332+45815192j, 10210743+9313243j, 
-22618264+18627626j, 18700342+-4131249j, 16530540+326236j, 4399919+10248196j, -28059861+11919305j, -4399596+-5247706j, -7831574+-4688134j, -39445963+8839130j, 27998179+-92666j, -2694059+24490089j, -7679035+8022601j, 29287965+23171492j, 16288432+18271940j, -6771490+13295803j, 34603157+-36748985j, 16469295+1545799j, 
-26559334+55844035j, 12341809+4273887j, 5612587+-8217140j, 8150106+1147890j, -9454070+-6984481j, 14976849+-20717238j, 4480869+7302458j, 14111556+-17799878j, 6057003+44454916j, -566987+-5682928j, -19618884+-7710501j, 15567295+50505084j, 28289377+-14946598j, 65006347+-5485277j, 19326143+-6494559j, 1388208+5218703j, 
-24646216+-27024028j, -7384503+-6048585j, -2361775+4885824j, 5815668+-12763672j, -13847961+19973789j, 50855708+4084368j, 13741902+5718222j, -8802377+14641745j, -33370533+-9118211j, 24242654+-8168760j, 3561794+29494620j, -76037400+19668367j, 12144616+25266204j, 4593513+7463392j, 29373915+4261586j, -39566587+-4221825j, 
-24188161+-7532081j, -16402864+-1457536j, 16161547+30260736j, 7192412+25783924j, -645864+40106027j, 3589447+12619839j, 10743272+41045892j, -4430192+-5472275j, 973611+8179979j, 14508466+14318850j, 56536923+34541288j, -11990824+34755588j, 10870997+32782110j, 10546090+22573511j, 11385868+-10360205j, -6028570+7330483j, 
-22565355+-16098641j, -10402904+-15676156j, -31328488+-18977703j, 29196164+-9957927j, -37612222+-7235277j, 26441421+17564161j, -14218892+-14626770j, 10476423+26961788j, -8938928+39628426j, 26687452+-2901162j, -12947684+-15444898j, -14506986+19286867j, 2035903+-11067256j, 9961322+-14026670j, 29484335+6713220j, -4700015+-14470856j, 
20899835+-19137712j, 49132476+-16886515j, -25277298+-2866077j, -9650536+-16983871j, -32196393+27503286j, 4751762+593305j, 17307234+1451033j, 25422753+39606468j, 26501592+-35876917j, 26812672+12697525j, -22628563+3260177j, 18939656+-61953496j, -4309730+45604792j, 17520553+69328213j, -3876358+-67866342j, 23130683+-23056893j, 
-14315827+8090479j, -439165+-12332128j, -6592637+-33629008j, -22204136+19150053j, 1091621+-46577125j, 29962732+14092989j, 9484842+37400391j, -6669024+-21248683j, -67377811+13210725j, -26823367+-358296j, -26019723+5026565j, 2455483+-35675970j, 7622866+39234134j, -44764164+69255220j, -1977790+-11871228j, -2106150+-24548917j, 
1965583+-609252j, -14664938+-36169456j, -11482847+19213849j, 13939831+14087093j, 12001784+-2927914j, 22733862+-16392906j, 45970987+9257418j, -22570554+-9684147j, -4490000+28850260j, 37533331+3512689j, -2647765+-5437270j, 9817025+9252479j, 9564047+13061490j, -6801827+20288412j, 6920577+-36505523j, 3884946+2254267j, 
56464592+-26182228j, -282478+-109940334j, -39870943+76626347j, -24836428+9303548j, -42573743+-5840223j, -27493496+-40059132j, -11317094+-4601321j, 28545474+-27849284j, -12905936+18085904j, 24753070+40155601j, 29470178+-14259085j, 7245625+-18018818j, -461663+7079538j, 27092775+29893739j, 7263019+-35135895j, 21949536+-11127648j, 
-17953093+30421453j, -40037830+61196006j, -4902666+-24739054j, -835091+45821j, 26948284+18791020j, -1424792+17428730j, -37640232+25949760j, -21161470+6353609j, -33809809+20787150j, -60539460+2953869j, 26259566+18755201j, -3091708+42481506j, -3509669+-35095750j, -66176988+18796740j, 15203738+55588822j, -19093410+4715741j, 
10385609+16674302j, 3861952+-11283538j, -10969449+-11891899j, 17459389+8721175j, -13872663+-3967875j, -3968962+-7313829j, 24403742+-17415893j, -12751006+-472728j, -10994122+10519404j, 2246422+3198502j, 22872731+-6424731j, 12088465+-38041938j, 45872020+15995745j, 17997078+14523803j, -17961421+-19561001j, 998239+-7226498j, 
19715575+79958488j, 66852175+-1379336j, -15685189+-12197447j, -1159296+-28321517j, 32407342+22984720j, 30669795+-31352288j, 24262223+-23297926j, 4162139+20834725j, 31491923+-31398629j, -15787424+18000757j, 9049431+-10946926j, 59501546+3581799j, 174670+-245104j, 15208118+18679018j, 543386+-41918567j, 6455361+-31904596j, 
36787566+-15424085j, -21650640+-1335601j, -1162669+-16633809j, 1018441+14690597j, 37871163+-32783630j, -44227697+3587420j, -4300515+6012241j, -3833183+-24629438j, -9903619+3156204j, 13445222+-18565309j, -9271630+-18430458j, 53573772+-15362075j, -36190695+-10740578j, -16695024+-3485464j, -14781948+-24134520j, 19758150+11533893j, 
-6936708+-5344348j, -9122603+10894710j, -4327273+-23447068j, -8452656+-143974j, -27239246+-7090971j, -18821169+-28383537j, 13736611+2368151j, -14614328+-5318699j, 7803061+12986413j, -8972723+-18570713j, -52122939+18182300j, 19254671+-43808124j, 13764776+15685200j, -6643039+19813654j, 3557006+-49406158j, 19056782+13023171j, 
17009502+-30129273j, -5482497+-26573729j, 1423912+10433392j, 3458787+-2690949j, -23221298+904969j, -16349361+-432791j, -11210465+12482198j, 21341203+154812j, 16875746+-25112373j, -11927881+10904637j, 59300670+-18200951j, -1859159+-3254633j, -22608685+10431497j, 5957927+-6185887j, -24857983+-13297291j, 26255309+126005j, 
51356087+30667264j, 34873197+-10943929j, -7010647+-25441564j, -20905155+-1802439j, -25817513+4439382j, 5865271+-12112118j, -4080187+4874178j, 1677416+21927949j, 28482778+8314340j, 36146349+21039070j, 18244581+3870923j, 8607612+6236152j, 42248649+-7800988j, -38196743+1630851j, -14741682+-36656771j, -42797449+21870761j, 
7731133+18742070j, -4349900+-3704226j, -10376957+-26907640j, 21778703+9389592j, -15823580+4321654j, 3882913+3374452j, -4564264+4026037j, -18374767+28324808j, 25371874+16559391j, -29749850+19540742j, 13603994+21266595j, 35069530+-8904700j, -15867864+-12431469j, -19389700+11235262j, 11624662+-33858617j, 28334010+-7124638j, 
36849590+-7931265j, 6285991+-18815675j, -37015966+593500j, 627979+-21146321j, -52859141+-8744803j, -16561100+-363206j, -52978138+-8897019j, 26463059+11629867j, -21160460+-52347002j, -26978589+-28399607j, 13225418+-2862189j, 10016472+-26708458j, 3632519+-13085071j, -6524058+22445180j, -17008308+52838051j, 1925605+11675826j, 
-1617826+298940j, -37955529+-7488497j, 24801681+32053752j, -6348792+7551631j, 47280301+-12865740j, -4208230+-41046524j, 8931090+-10867163j, -37858513+-22472606j, 132976+-9442528j, -6948001+-12621414j, 21337741+38203263j, -16917506+26724489j, 2974643+16137988j, -19399073+-19891345j, -33869989+7033514j, -29386589+11984610j, 
16304779+17961047j, 12992557+-25646264j, 14729133+1334805j, -14628375+5086798j, -3809562+17998665j, -6636432+-10076551j, 1737670+-989573j, -6718402+5289374j, 8424021+1149756j, 12457445+24327645j, 11628822+-13531505j, -10855294+3476086j, 24453204+-14779363j, 174675+-9290611j, -1365567+-17198596j, -8273925+-544370j, 
33428516+24342j, 14091136+-14523305j, 10077211+16110330j, -20177538+11550360j, 9601430+-4951822j, -14895860+-15921089j, -4275058+-6271870j, -48469722+18780539j, 9388130+-18812265j, -43463338+28459709j, -7713146+57661584j, -31824440+-52941904j, 113+3113052j, -794462+17665942j, -17637201+-1200162j, -10990496+-1833469j, 
-17317379+-24185366j, -45548252+6366240j, -7080721+-11593134j, 12708411+-7573475j, -1656592+-23616157j, 20562760+1107484j, -35730703+32454590j, 3421817+-2902188j, 2920023+11680039j, -29905563+-29240454j, -33816149+-2265060j, 40158607+11997363j, -57446553+-17085357j, -35549078+18021964j, 37407102+-3105328j, 20917553+11929701j, 
3663666+-20499908j, -361041+15640580j, -7462446+28834107j, 3574247+8101587j, -35382336+-39046911j, -108105+3041337j, 18587744+52255654j, -16188432+-38723361j, 23545613+44377592j, -10422263+36027283j, -7910040+-35762620j, 29344359+-45229892j, -21584542+45500539j, 10400566+28334824j, 25820467+-25837835j, 11654877+10974889j, 
42844372+5681410j, 28074016+-26495905j, 9274633+46361286j, -25034132+-11223924j, -6354225+-16972098j, -11833489+-41228801j, 43471368+-5721423j, 1273160+-4836194j, 17753874+30441633j, 41739311+47820261j, 31922608+14322627j, 58402+-13513750j, 3527181+62689715j, 2103870+4561838j, 4570101+-74127233j, -11099670+-14883802j, 
-9212951+-3024600j, -22338427+59357980j, -6646654+-599287j, 18792535+145551j, -48201656+-21571941j, -16082628+9894716j, 13882040+23698385j, -30364759+4500023j, 4460737+29225912j, -14866901+18362720j, -18017204+-21502102j, -5516098+-34107167j, 13820179+16384510j, 26883449+42139121j, -15220964+28208202j, -3497810+2092675j, 
-36794319+-10272869j, -13113147+-32295422j, 5368361+12264143j, -11312087+11967602j, 35510+7377308j, 21614362+-7456973j, -22300017+14371726j, 10214211+-7893546j, -34972566+-13157196j, -25552946+-43297891j, 25183716+17908720j, 6286452+22307346j, 20235699+19539070j, -26183153+22005141j, -5156453+6705539j, 2097921+23844278j, 
-4468584+4454054j, -865691+-4239654j, -25993851+2794398j, 2293322+15392341j, -41001787+-28977885j, -1808120+-12446904j, 26805077+-4507425j, -613476+-3936891j, -11748420+29093115j, 17206487+20196681j, -17206289+10275377j, -28796319+-34289113j, 25483318+35373568j, 30069054+43394922j, -26890034+-7476787j, -9927685+-14227127j, 
-808137+-18969032j, 1258066+14809665j, -33833021+-29744452j, 39255974+2266876j, -2705114+-25695110j, 23204717+13709078j, 8046515+17304535j, -869830+19302862j, 7821534+36099253j, 17310121+29637294j, 18985524+-45892572j, 927756+25523257j, -24897282+-8470916j, -19928720+23241327j, 12732168+-22938284j, 20801781+18349555j, 
-4723631+12897465j, -3753572+-33308484j, -2589595+-24726287j, 15245349+29031975j, 34891214+-5705189j, -8129224+25534892j, -27596988+-44431442j, -30373484+10345156j, -82599459+-27648166j, -30523238+-2547583j, 16641650+44922278j, -83075658+16057950j, -2546145+-33147450j, -17931610+-18387822j, 450596+48553624j, 1534479+-21769648j, 
-20922568+-6478410j, 62779+-6939210j, 14027926+-7610829j, 14922794+16413052j, 9965993+20151452j, 507804+-8802781j, 31645875+-6043749j, -13022663+26661979j, -16699261+-34829258j, 22599225+20546584j, 17229703+-27257801j, -3374042+21944289j, 26877470+5196290j, 23357489+31880544j, 6352892+20024857j, 14953896+12031155j, 
778349+-40213879j, 17695519+2956822j, 13809585+10759566j, -9184083+9231548j, 17037532+-12295043j, -19735344+9334646j, 23241519+-2174785j, -20167197+15796485j, 5147730+8874562j, 14908114+46513478j, 18876083+4372405j, -29512701+24541087j, -14730431+-1307446j, -5434849+-157292j, 22759912+8874675j, 24521910+9057927j, 
2719450+-15288273j, -21771258+55720740j, 7081850+-23252708j, 26934444+-3149693j, 59580+16833716j, -8950925+20675013j, -2354807+26367115j, -29487534+2520447j, 15007313+-23394106j, -15264363+-36761348j, -30635529+7166379j, 37315980+-40011884j, -15763386+3344517j, -19189700+-10456909j, -19453501+22578258j, 2599393+27067964j, 
-12253794+17612237j, 15029830+-43332354j, 16622923+-6854742j, 9031466+11016564j, 14021254+20869811j, 6202587+-13395005j, 24521468+-22948416j, 6573934+24659967j, 17704058+-24408766j, 26841709+6769525j, 6145514+-26850070j, 30822089+9001649j, 16146903+-32214050j, 22466616+-13637016j, 11805079+-24603959j, 34118953+-1725567j, 
-13710251+24355936j, -9722145+22450701j, 7337551+-32954601j, 26579622+7170811j, -788882+-13603637j, 12260851+-2603596j, 18065538+18550363j, -4984436+23582344j, 23959074+16961852j, 15364184+21426837j, 7165262+15359119j, 36561081+14603760j, -1699358+24709778j, 8582950+24646315j, 2307677+-42685921j, 7411097+-9404274j, 
-2320212+28257563j, 14614733+24278704j, 35617282+3208003j, -10492389+-35673274j, -1864653+12547169j, -26158381+-31281679j, -12651560+-31326423j, 25647858+12271601j, 8029502+-48469474j, 15130191+-48947110j, -1269734+-37534826j, 10334898+9297009j, 38276175+-19106035j, -10565893+3867893j, -13590962+14375965j, 10233955+32227647j, 
31301654+-27298831j, -14987920+-17765015j, -40447863+18729112j, 15179556+16199165j, -28365279+-12919079j, -39683535+8812798j, 302302+-26918993j, -4720101+1592742j, 7469295+3384185j, 31460847+1033102j, -24335827+14130584j, -16881441+-48246289j, -10143768+-15964390j, 52044343+-18863391j, -48430248+11590578j, -6515692+-10983337j, 
-23395798+-25076774j, 7664843+44867009j, -16661792+-23797645j, 10281106+2245396j, 10114616+-17175533j, -2614516+27016467j, 20461118+9627858j, 3851040+12634190j, 7515753+-28903640j, 15355954+-14433613j, -13712071+11420885j, -25599475+-25594094j, -16292194+6145655j, -21440829+27956663j, -21960375+8081180j, 15233708+9294652j, 
-2037290+23636364j, -9882392+-13393038j, -28097776+-2317413j, 30150059+-2211678j, -18714429+-45386162j, 28179103+-12019826j, -12146577+-27921560j, -24059562+-1225219j, -4856151+9383422j, -14436770+-38569123j, -12251821+7824315j, 28502775+23311474j, -10242413+-18542919j, -53221718+-13070598j, 18627945+39801000j, 3860843+21816791j, 
-23896552+-8671474j, 14656238+-15574920j, -44696784+24055j, 19039273+9540645j, -37593124+34393923j, 19984001+18259568j, 1117821+-10866263j, -6396677+11289250j, 16829578+-24225674j, -15393422+26290892j, -996314+29515990j, -23324469+-13136675j, -20604029+472782j, 11216413+28492353j, 5759646+853525j, 27984945+-39211192j, 
3730021+52025174j, 14724608+28204453j, -22794027+3507729j, 35872349+2377835j, 9300838+-13180079j, 32232254+-17977429j, 39178691+35669899j, -13355101+-7161076j, 26363851+35108860j, 26309178+53284171j, 18188443+-5378502j, 37153529+51905j, -11880620+46196456j, 18565657+23347349j, 25251669+-51400201j, -18746879+-8887698j, 
-4309726+-29754931j, -4386071+11285441j, 14435297+-22906215j, 4408947+23543396j, 38443461+-7524565j, 4791360+28138030j, -2815873+50860149j, -27949467+12754826j, -13046207+6996317j, -17898301+31438503j, -9323123+19570801j, 15136914+-21874338j, -16782867+115406j, -30689489+-19982314j, 23384009+-5777710j, 10011136+28638370j, 
-1546033+12356778j, 15971337+-18223541j, 76738+29843851j, -36586027+6170334j, -23209009+10704953j, -14364269+-19177586j, -7681748+-23993205j, -2532538+-19887335j, -15403951+11381795j, -30391102+11598072j, 15583054+48425513j, -22718153+43197598j, 4677978+5170492j, 3749603+-26675690j, 22901474+16435637j, -8547158+-7206288j, 
12914293+-8368032j, 38100377+34564865j, -42979132+-16420886j, -17147470+-17030085j, -19096401+47910739j, -12223623+15142621j, -725024+23520969j, 17834930+-24484646j, -1172334+-9233496j, -14340578+-18674943j, -34627323+10546962j, 19246648+-28581094j, -15447254+11791689j, -19488013+20180924j, 18883376+-13618117j, 18434956+9968559j, 
28592935+20642999j, 48165715+17587435j, -7300749+29558887j, 3707958+-32639234j, 12876852+10880526j, -8546881+-2138888j, 18604298+705897j, 19704952+30050152j, 10234020+5078453j, 21347693+7329731j, 15756906+3103253j, 20081654+-1039j, -18058700+8212951j, -4985314+32615961j, 27617546+-22641054j, 36147642+2577902j, 
-14027434+4852289j, 14943533+11415153j, -28047449+-3591423j, 31105649+-13295755j, 21087352+-10483106j, 19057383+-6141350j, 22640310+33289292j, 5109015+41498184j, 10191760+-32311337j, 3637574+29708829j, -5741578+-29763186j, 20800677+-12933324j, -22335845+2988210j, 31570195+20634096j, -17226749+2048209j, 27443668+12396830j, 
-30563269+-29218218j, -927899+-46889469j, -38087818+25959232j, 32830834+-11179974j, -39446042+20288729j, 27854461+11424014j, 11026405+-32973742j, 46373408+15472588j, 2002250+-2979864j, 54848754+8043284j, 33384905+-1485697j, -96256693+31358336j, 6291605+-388591j, 22799999+-18616006j, -19390546+17590126j, 12393329+-28136142j, 
-39282041+8033941j, -33878957+17733912j, -27168603+12280798j, 171311+-3418892j, -25021515+-14746661j, 27481952+-9749530j, -14860161+-1841871j, 35040820+-503876j, 3605938+23847765j, -42758463+-14588488j, -1408216+-4507805j, 11068417+19617528j, -46544329+-8043016j, -44245074+60697093j, 17768478+20427438j, 26087665+-14436118j, 
29474069+7335997j, -5805365+-24189557j, -1935982+3168520j, 7553828+13778583j, 22791480+17449676j, 6646816+-8258905j, 3496494+-22867337j, -17790021+-26696576j, 3535091+-51174999j, 25646671+-56473340j, -8466224+42083033j, -7362476+1332681j, 12709827+20769643j, -25000100+-11103760j, -54933038+2465084j, -37595419+12271164j, 
-28777737+15507567j, -5426351+-18499014j, -26358286+-15867546j, 18831871+13116907j, -42364869+21108954j, 19342032+5559994j, -8287286+-2505090j, 7603788+-8731696j, -14531345+4304271j, -14037858+-48501247j, -15401116+43430162j, -8418559+-10015505j, 21063718+1074615j, -2286281+25710603j, 5479041+-10137023j, 13892933+2373843j, 
-24357307+-15828400j, -16523838+15070305j, 8013471+-7263054j, -18475321+-3472647j, -31139231+32491719j, -2670522+29542177j, -15084188+6945153j, 10414302+12020240j, -32292575+13992606j, -9379564+-2623464j, 9486105+5713381j, -23501417+26078782j, 16472791+9438713j, -25118650+23892574j, 8942790+14908632j, 2934588+-19382092j, 
-19460999+-9942428j, -41892333+-34752211j, -25499892+-38553708j, 8009709+-10344946j, 22119921+-58598631j, 31152575+-2734028j, -45326480+-4001247j, 18373843+-2060591j, -7328326+-10392783j, -43953789+-25765022j, -20671939+16235633j, 22553972+-18796801j, -24878110+-24243064j, -12863626+-52563039j, -25508121+18627310j, -11268890+-27287039j, 
-18563511+-22581442j, -15826331+-56047325j, -10013678+7504621j, 12613289+28309757j, 30406120+976810j, 23898346+3829822j, -14720286+-1462619j, -13023430+-11522576j, -19891993+4827609j, 15317902+10538314j, 14571764+13078259j, -22502991+10789550j, 18141114+-5382054j, 21605897+-48931766j, -9122393+3768532j, -31745690+636634j, 
27284881+7948499j, 40848026+14218283j, 5675066+-59255704j, -18770552+1111340j, -23029738+-34601865j, 14945107+-565251j, -7621829+-6191064j, 4051202+19766098j, 1900446+-3241464j, -25010867+-31485076j, -32352525+36022265j, 3201278+-7700443j, 17094582+-9934864j, 10034179+-7658059j, -4089998+15579898j, -25988746+30405665j, 
36002871+14913515j, 707562+18092002j, -15917831+10969239j, -9449735+14929519j, 21345320+43546453j, -8718871+22555676j, -18215782+10478805j, -1348174+-35992089j, -9934548+35834422j, -36197179+8987813j, 52703694+21406474j, 16808951+12526933j, 14817888+-20503320j, 7364040+-2487054j, 7072594+28100329j, -33814216+-6054031j, 
